date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:58:01	78080/78080	---M--	200	added ('OK')	text/css	etag:%2213100-56f2359ef855b%22	http://ganeshbhel.com/wp-content/themes/bridge/css/linea-icons/style.css?ver=4.9.11	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-content/themes/bridge/css/linea-icons/style433d.css	(from http://ganeshbhel.com/)
12:58:03	11546/11546	---M--	200	added ('OK')	text/css	etag:%222d1a-56f2359ef23b2%22	http://ganeshbhel.com/wp-content/themes/bridge/css/dripicons/dripicons.css?ver=4.9.11	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-content/themes/bridge/css/dripicons/dripicons433d.css	(from http://ganeshbhel.com/)
12:58:09	39326/39326	---M--	200	added ('OK')	text/css	etag:%22999e-56f2359ef23b2%22	http://ganeshbhel.com/wp-content/themes/bridge/css/woocommerce_responsive.min.css?ver=4.9.11	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-content/themes/bridge/css/woocommerce_responsive.min433d.css	(from http://ganeshbhel.com/)
12:58:09	143643/143643	---M--	200	added ('OK')	text/css	etag:%222311b-56f2359f019cc%22	http://ganeshbhel.com/wp-content/themes/bridge/css/woocommerce.min.css?ver=4.9.11	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-content/themes/bridge/css/woocommerce.min433d.css	(from http://ganeshbhel.com/)
12:58:12	611/611	---M--	200	added ('OK')	text/css	etag:%22263-56f2359f1042d%22	http://ganeshbhel.com/wp-content/themes/bridge/css/print.css?ver=4.9.11	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-content/themes/bridge/css/print433d.css	(from http://ganeshbhel.com/)
12:58:15	682859/682859	---M--	200	added ('OK')	text/css	etag:%22a6b6b-56f2359efeaeb%22	http://ganeshbhel.com/wp-content/themes/bridge/css/stylesheet.min.css?ver=4.9.11	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-content/themes/bridge/css/stylesheet.min433d.css	(from http://ganeshbhel.com/)
12:58:15	32696/32696	---M--	200	added ('OK')	text/css	etag:%227fb8-577f02138ca65%22	http://ganeshbhel.com/wp-content/themes/bridge/css/style_dynamic.css?ver=1539248116	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-content/themes/bridge/css/style_dynamicf1ed.css	(from http://ganeshbhel.com/)
12:58:17	119909/119909	---M--	200	added ('OK')	text/css	etag:%221d465-5724c4a6a53e4%22	http://ganeshbhel.com/wp-content/themes/bridge/css/responsive.min.css?ver=4.9.11	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-content/themes/bridge/css/responsive.min433d.css	(from http://ganeshbhel.com/)
12:58:18	481/481	---M--	200	added ('OK')	text/css	etag:%221e1-5762227795b52%22	http://ganeshbhel.com/wp-content/themes/bridge/css/style_dynamic_responsive.css?ver=1537263946	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-content/themes/bridge/css/style_dynamic_responsive3a9e.css	(from http://ganeshbhel.com/)
12:58:21	462190/462190	---M--	200	added ('OK')	text/css	etag:%2270d6e-56f235a13f5b9%22	http://ganeshbhel.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=5.4.7	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-content/plugins/js_composer/assets/css/js_composer.min8b06.css	(from http://ganeshbhel.com/)
12:58:22	3417/3417	---M--	200	added ('OK')	text/css	etag:%22d59-5762227796af3%22	http://ganeshbhel.com/wp-content/themes/bridge/css/custom_css.css?ver=1537263946	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-content/themes/bridge/css/custom_css3a9e.css	(from http://ganeshbhel.com/)
12:58:22	10670/10670	---M--	200	added ('OK')	text/css	etag:%2229ae-5736561897a09%22	http://ganeshbhel.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=3.6.0	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.minaf6c.css	(from http://ganeshbhel.com/)
12:58:23	30470/30470	---M--	200	added ('OK')	text/css	etag:%227706-56f235a11cb05%22	http://ganeshbhel.com/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min.css?ver=5.4.7	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min8b06.css	(from http://ganeshbhel.com/)
12:58:24	18468/18468	---M--	200	added ('OK')	text/css	etag:%224824-5736561894359%22	http://ganeshbhel.com/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=2.1.6	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-content/plugins/elementor/assets/lib/animations/animations.min784e.css	(from http://ganeshbhel.com/)
12:58:26	82363/82363	---M--	200	added ('OK')	text/css	etag:%22141bb-5736561af367a%22	http://ganeshbhel.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=2.1.6	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-content/plugins/elementor/assets/css/frontend.min784e.css	(from http://ganeshbhel.com/)
12:58:26	4677/4677	---M--	200	added ('OK')	text/css	etag:%221245-58f362e2c5365%22	http://ganeshbhel.com/wp-content/uploads/elementor/css/global.css?ver=1564837749	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-content/uploads/elementor/css/global2af7.css	(from http://ganeshbhel.com/)
12:58:26	16180/16180	---M--	200	added ('OK')	text/css	etag:%223f34-5732373b9347b%22	http://ganeshbhel.com/wp-content/uploads/pum/pum-site-styles.css?generated=1533970986&ver=1.7.29	C:/My%20Web%20Sites/GaneshBhel/ganeshbhel.com/wp-content/uploads/pum/pum-site-styles78c3.css	(from http://ganeshbhel.com/)
